Geographical area,Year,International migrant stock,Value
Caribbean,2010, Both sexes (% total population),3.2
Caribbean,2010, Male (% total Population),3.4
Caribbean,2010, Female (% total Population),3.2
Caribbean,2015, Both sexes (number),1385784
Caribbean,2015, Both sexes (% total population),3.2
Caribbean,2015, Male (% total Population),3.3
Caribbean,2015, Female (% total Population),3.1
Caribbean,2017, Both sexes (number),1399747
Caribbean,2017, Both sexes (% total population),3.2
Caribbean,2017, Male (% total Population),3.3
Caribbean,2017, Female (% total Population),3.1
South America,2005, Both sexes (number),4518645
South America,2005, Both sexes (% total population),1.2
South America,2005, Male (% total Population),1.2
South America,2005, Female (% total Population),1.2
South America,2010, Both sexes (number),5143123
South America,2010, Both sexes (% total population),1.3
South America,2010, Male (% total Population),1.3
South America,2010, Female (% total Population),1.3
South America,2015, Both sexes (number),5843031
South America,2015, Both sexes (% total population),1.4
South America,2015, Male (% total Population),1.4
South America,2015, Female (% total Population),1.4
South America,2017, Both sexes (number),6015623
South America,2017, Both sexes (% total population),1.4
South America,2017, Male (% total Population),1.4
South America,2017, Female (% total Population),1.4
Asia,2005, Both sexes (number),53243730
Asia,2005, Both sexes (% total population),1.3
Asia,2005, Male (% total Population),1.4
Asia,2005, Female (% total Population),1.2
Asia,2010, Both sexes (number),65921788
Asia,2010, Both sexes (% total population),1.6
Asia,2010, Male (% total Population),1.8
Asia,2010, Female (% total Population),1.4
Asia,2015, Both sexes (number),76558152
Asia,2015, Both sexes (% total population),1.7
Asia,2015, Male (% total Population),1.9
Asia,2015, Female (% total Population),1.5
Asia,2017, Both sexes (number),79586709
Asia,2017, Both sexes (% total population),1.8
Asia,2017, Male (% total Population),2
Asia,2017, Female (% total Population),1.5
Europe,2005, Both sexes (number),63201280
Europe,2005, Both sexes (% total population),8.7
Europe,2005, Male (% total Population),8.7
Europe,2005, Female (% total Population),8.6
Europe,2010, Both sexes (number),70747947
Europe,2010, Both sexes (% total population),9.6
Europe,2010, Male (% total Population),9.6
Europe,2010, Female (% total Population),9.6
Europe,2015, Both sexes (number),74501508
Europe,2015, Both sexes (% total population),10.10
Europe,2015, Male (% total Population),10
Europe,2015, Female (% total Population),10.1
Europe,2017, Both sexes (number),77895217
Europe,2017, Both sexes (% total population),10.5
Europe,2017, Male (% total Population),10.4
Europe,2017, Female (% total Population),10.6
Oceania,2005, Both sexes (number),6023421
Oceania,2005, Both sexes (% total population),17.9
Oceania,2005, Male (% total Population),17.9
Oceania,2005, Female (% total Population),18.2
Oceania,2010, Both sexes (number),7124634
Oceania,2010, Both sexes (% total population),19.40
Oceania,2010, Male (% total Population),19.4
Oceania,2010, Female (% total Population),19.8
Oceania,2015, Both sexes (number),8051745
Oceania,2015, Both sexes (% total population),20.4
Oceania,2015, Male (% total Population),20.1
Oceania,2015, Female (% total Population),20.8
Oceania,2017, Both sexes (number),8410933
Oceania,2017, Both sexes (% total population),20.7
Oceania,2017, Male (% total Population),20.4
Oceania,2017, Female (% total Population),21.2
